,district,month,year,domestic_visitors,foreign_visitors
198,Mulugu,July,2022,48355,8
199,Mulugu,August,2022,50064,10
200,Mulugu,September,2022,50503,10
201,Mulugu,October,2022,51654,11
202,Mulugu,November,2022,50273,10
203,Mulugu,December,2022,49398,10
204,Nagarkurnool,January,2022,198660,0
205,Nagarkurnool,February,2022,128680,0
206,Nagarkurnool,March,2022,147400,0
207,Nagarkurnool,April,2022,188600,0
208,Nagarkurnool,May,2022,131000,0
209,Nagarkurnool,June,2022,101350,0
210,Nagarkurnool,July,2022,116400,0
211,Nagarkurnool,August,2022,126500,0
212,Nagarkurnool,September,2022,124000,0
213,Nagarkurnool,October,2022,136400,0
214,Nagarkurnool,November,2022,139250,0
215,Nagarkurnool,December,2022,140000,0
216,Nalgonda & Suryapet,January,2022,18165,0
217,Nalgonda & Suryapet,February,2022,12694,0
218,Nalgonda & Suryapet,March,2022,11565,0
219,Nalgonda & Suryapet,April,2022,8922,0
220,Nalgonda & Suryapet,May,2022,12508,0
221,Nalgonda & Suryapet,June,2022,17231,0
222,Nalgonda & Suryapet,July,2022,21554,0
223,Nalgonda & Suryapet,August,2022,30041,0
224,Nalgonda & Suryapet,September,2022,22875,0
225,Nalgonda & Suryapet,October,2022,31877,0
226,Nalgonda & Suryapet,November,2022,17501,0
227,Nalgonda & Suryapet,December,2022,20344,0
228,Narayanpet,January,2022,23800,0
229,Narayanpet,February,2022,99700,0
230,Narayanpet,March,2022,130000,0
231,Narayanpet,April,2022,170500,0
232,Narayanpet,May,2022,15600,0
233,Narayanpet,June,2022,11200,0
234,Narayanpet,July,2022,12400,0
235,Narayanpet,August,2022,11900,0
236,Narayanpet,September,2022,10800,0
237,Narayanpet,October,2022,9400,0
238,Narayanpet,November,2022,11150,0
239,Narayanpet,December,2022,15750,0
240,Nirmal,January,2022,230377,0
241,Nirmal,February,2022,278184,0
242,Nirmal,March,2022,334135,0
243,Nirmal,April,2022,275087,0
244,Nirmal,May,2022,302772,0
245,Nirmal,June,2022,389714,0
246,Nirmal,July,2022,333767,0
247,Nirmal,August,2022,344930,0
248,Nirmal,September,2022,318387,0
249,Nirmal,October,2022,325830,0
250,Nirmal,November,2022,408666,0
251,Nirmal,December,2022,363179,0
252,Nizamabad,January,2022,12881,0
253,Nizamabad,February,2022,75753,0
254,Nizamabad,March,2022,106250,0
255,Nizamabad,April,2022,10875,0
256,Nizamabad,May,2022,17259,2
257,Nizamabad,June,2022,16640,0
258,Nizamabad,July,2022,11758,0
259,Nizamabad,August,2022,19056,0
260,Nizamabad,September,2022,16124,0
261,Nizamabad,October,2022,28465,0
262,Nizamabad,November,2022,43667,0
263,Nizamabad,December,2022,38483,0
264,Peddapalli,January,2022,1635,0
265,Peddapalli,February,2022,1675,0
266,Peddapalli,March,2022,478,0
267,Peddapalli,April,2022,516,0
268,Peddapalli,May,2022,1750,0
269,Peddapalli,June,2022,620,0
270,Peddapalli,July,2022,1550,0
271,Peddapalli,August,2022,750,0
272,Peddapalli,September,2022,765,0
273,Peddapalli,October,2022,1835,0
274,Peddapalli,November,2022,2185,0
275,Peddapalli,December,2022,920,0
276,Rajanna Sircilla,January,2022,685642,0
277,Rajanna Sircilla,February,2022,622385,0
278,Rajanna Sircilla,March,2022,544400,0
279,Rajanna Sircilla,April,2022,472924,0
280,Rajanna Sircilla,May,2022,559320,0
281,Rajanna Sircilla,June,2022,538663,0
282,Rajanna Sircilla,July,2022,217276,0
283,Rajanna Sircilla,August,2022,476608,0
284,Rajanna Sircilla,September,2022,285048,0
285,Rajanna Sircilla,October,2022,316687,0
286,Rajanna Sircilla,November,2022,390875,0
287,Rajanna Sircilla,December,2022,394472,0
288,Sangareddy,January,2022,115988,0
289,Sangareddy,February,2022,130632,0
290,Sangareddy,March,2022,417000,0
291,Sangareddy,April,2022,72000,0
292,Sangareddy,May,2022,82500,0
293,Sangareddy,June,2022,81000,0
294,Sangareddy,July,2022,85000,0
295,Sangareddy,August,2022,160000,0
296,Sangareddy,September,2022,129000,0
297,Sangareddy,October,2022,151000,0
298,Sangareddy,November,2022,180205,0
299,Sangareddy,December,2022,160854,0
300,Siddipet,January,2022,161000,0
301,Siddipet,February,2022,222250,0
302,Siddipet,March,2022,108750,0
303,Siddipet,April,2022,114311,0
304,Siddipet,May,2022,144239,0
305,Siddipet,June,2022,104583,0
306,Siddipet,July,2022,59832,0
307,Siddipet,August,2022,106635,0
308,Siddipet,September,2022,67500,0
309,Siddipet,October,2022,78009,0
310,Siddipet,November,2022,136709,0
311,Siddipet,December,2022,113370,0
312,Wanaparthy,January,2022,30000,0
313,Wanaparthy,February,2022,19000,0
314,Wanaparthy,March,2022,21000,0
315,Wanaparthy,April,2022,22250,0
316,Wanaparthy,May,2022,17000,0
317,Wanaparthy,June,2022,12200,0
318,Wanaparthy,July,2022,13200,0
319,Wanaparthy,August,2022,15700,0
320,Wanaparthy,September,2022,13000,0
321,Wanaparthy,October,2022,12000,0
322,Wanaparthy,November,2022,12600,0
323,Wanaparthy,December,2022,12000,0
324,Warangal,January,2022,5810,0
325,Warangal,February,2022,5543,0
326,Warangal,March,2022,5650,0
327,Warangal,April,2022,6626,0
328,Warangal,May,2022,6500,0
329,Warangal,June,2022,6459,0
330,Warangal,July,2022,7285,0
331,Warangal,August,2022,15724,11
332,Warangal,September,2022,14681,13
333,Warangal,October,2022,14476,0
334,Warangal,November,2022,14631,12
335,Warangal,December,2022,14550,11
336,Yadadri Bhongir,January,2022,550000,0
337,Yadadri Bhongir,February,2022,500000,0
338,Yadadri Bhongir,March,2022,600000,0
339,Yadadri Bhongir,April,2022,651276,0
340,Yadadri Bhongir,May,2022,801312,0
341,Yadadri Bhongir,June,2022,762672,0
342,Yadadri Bhongir,July,2022,370064,0
343,Yadadri Bhongir,August,2022,597045,0
344,Yadadri Bhongir,September,2022,328666,0
345,Yadadri Bhongir,October,2022,640912,0
346,Yadadri Bhongir,November,2022,751364,0
347,Yadadri Bhongir,December,2022,1012272,0
